Timestamp,Temperature,Humidity,Annotation
2023-07-05 09:20:00,27.86,43.21,1.56
2023-07-05 09:25:00,28.25,42.75,1.55
2023-07-05 09:30:00,28.59,42.34,1.53
2023-07-05 09:35:00,28.74,42.36,1.53
2023-07-05 09:40:00,28.74,42.47,1.54
2023-07-05 09:45:00,28.84,42.54,1.54
2023-07-05 09:50:00,29.22,42.4,1.53
2023-07-05 09:55:00,29.67,43.97,1.55
2023-07-05 10:00:00,30.02,45.02,0.35
2023-07-05 10:05:00,30.34,44.77,0.0
2023-07-05 10:10:00,30.49,45.25,0.0
2023-07-05 10:15:00,30.5,45.24,0.0
2023-07-05 10:20:00,30.6,45.43,0.0
2023-07-05 10:25:00,30.53,42.49,0.86
2023-07-05 10:30:00,30.35,41.99,1.54
2023-07-05 10:35:00,30.3,41.86,1.54
2023-07-05 10:40:00,30.39,41.64,1.57
2023-07-05 10:45:00,30.6,41.5,1.29
2023-07-05 10:50:00,30.84,41.32,0.0
2023-07-05 10:55:00,30.9,41.06,0.0
2023-07-05 11:00:00,30.9,40.62,0.0
2023-07-05 11:05:00,30.83,40.57,0.0
2023-07-05 11:10:00,30.66,40.37,0.62
2023-07-05 11:15:00,30.5,40.56,1.57
2023-07-05 11:20:00,30.53,40.34,1.57
2023-07-05 11:25:00,30.67,40.13,1.57
2023-07-05 11:30:00,30.94,39.95,0.68
2023-07-05 11:35:00,31.1,39.76,0.0
2023-07-05 11:40:00,31.12,39.59,0.0
2023-07-05 11:45:00,31.09,39.71,0.0
2023-07-05 11:50:00,30.96,39.94,0.0
2023-07-05 11:55:00,30.82,39.86,0.66
2023-07-05 12:00:00,30.7,40.43,1.57
2023-07-05 12:05:00,30.74,40.69,1.57
2023-07-05 12:10:00,30.9,40.96,1.57
2023-07-05 12:15:00,31.14,40.95,1.48
2023-07-05 12:20:00,31.41,40.69,0.0
2023-07-05 12:25:00,31.53,40.44,0.0
2023-07-05 12:30:00,31.51,40.34,0.0
2023-07-05 12:35:00,31.39,40.1,0.0
2023-07-05 12:40:00,31.22,39.84,0.0
2023-07-05 12:45:00,31.03,39.98,1.11
2023-07-05 12:50:00,30.93,40.37,1.57
2023-07-05 12:55:00,31.04,40.57,1.57
2023-07-05 13:00:00,31.19,40.78,1.57
2023-07-05 13:05:00,31.45,40.48,0.19
2023-07-05 13:10:00,31.58,40.17,0.0
2023-07-05 13:15:00,31.59,39.95,0.0
2023-07-05 13:20:00,31.48,39.9,0.0
2023-07-05 13:25:00,31.35,39.3,0.0
2023-07-05 13:30:00,31.19,39.39,0.32
2023-07-05 13:35:00,31.03,40.07,1.57
2023-07-05 13:40:00,31.04,40.64,1.57
2023-07-05 13:45:00,31.23,40.98,1.57
